,nombre,nombre_asesor,partido,pcia,asesores_masculinos,asesores_femeninos
Aguilar    Eduardo Alberto,Aguilar    Eduardo Alberto,"['CAROLINA ARACELI', 'JORGE ALBERTO', 'GONZALO', 'LUCAS TOMAS', 'AGUSTIN ALEJANDRO', 'RUBEN OMAR', 'LUIS EMANUEL', 'GUSTAVO ADOLFO', 'DANIEL FERNANDO', 'MARIA JOSE', 'NADIA CECILIA', 'CAROLINA NOEMÍ', 'RUBEN LEONARDO', 'DIMAS EZEQUIEL', 'MARIA ELENA', 'DIEGO OSCAR', 'MAURO SEBASTIAN', 'MARIANO ATILIO', 'SONIA ROXANA', 'RAQUEL CAROLINA', 'HECTOR HORACIO', 'DANIEL RAMÓN', 'MIRTHA ALICIA']",Frente para la Victoria,Chaco,15,8
Almirón    Ana Claudia,Almirón    Ana Claudia,"['MARIANA CARLA', 'CARLOS MATIAS', 'JUAN BERNARDO', 'ELI EMMANUEL', 'ADRIANA RITA DE LUJAN', 'MIGUEL ADOLFO', 'MARIANO HERNAN', 'JUAN MANUEL', 'GIMENA JESUS PABLA', 'ANA MARIA MARLENE', 'DIEGO OSCAR', 'MARIA LAURA', 'DIEGO ANDRES', 'MILENA IARA', 'HUGO JOSE', 'ANGEL ESTEBAN', 'NORA MABEL', 'NICOLAS DANIEL', 'CYNTIA MARISOL', 'RAUL ALFREDO', 'ALEJANDRO CESAR', 'LORENA RAQUEL', 'SOLEDAD ISABEL', 'JULIETA NABILA', 'RICARDO HORACIO', 'DEBORA LUCIA', 'ENRIQUE MARTIN', 'JESSICA SOLEDAD']",Alianza Frente para la Victoria,Corrientes,15,13
Alperovich    José Jorge,Alperovich    José Jorge,"['MIGUEL OSCAR', 'GABRIEL MAXIMILIANO', 'ELIZABETH DEL CARMEN', 'MARIA AGUEDA', 'PAOLA ROMINA', 'MARIANO MARCOS', 'LUCAS', 'GONZALO MAXIMILIANO', 'ANA', 'CARLOS RAFAEL', 'CRISTIAN ANDRES', 'NICOLAS JOSE', 'MARIA DE LOS ANGELES', 'MARINA LAURA', 'JORGE SALVADOR', 'MARTINA ELIZABETH', 'SILVIA AGUEDA', 'SANTIAGO LUIS', 'NORA LILIANA', 'NATALIA ESTELA', 'LUCIA', 'GABRIELA', 'ROCIO GRACIELA', 'CECILIA ANAHI']",Alianza Frente para la Victoria,Tucumán,10,14
Basualdo    Roberto Gustavo,Basualdo    Roberto Gustavo,"['VALERIA DEL VALLE', 'GABRIEL LEONARDO', 'CAROLINA ELIZABETH', 'EDUARDO ANTONIO', 'LEANDRO FRANCISCO', 'MARIA INES', 'MODESTO ANTONIO', 'LUIS ALBERTO', 'MARIA CELESTE', 'RICARDO FRANCISCO', 'ELIZABETH DE JESUS', 'NANCY BEATRIZ', 'ALDO ANDRES', 'JOSE JESUS', 'SILVIA MARÍA MARQUESA']",Alianza Cambiemos San Juan,San Juan,8,7
Blas    Inés Imelda,Blas    Inés Imelda,"['GABRIELA', 'MARTHA INES DEL VALLE', 'MARIA XIMENA', 'MAXIMILIANO MATIAS', 'ANA JULIA', 'CARLOS MARIA', 'JOSE ANTONIO', 'MARIA DEL CARMEN', 'FAVIOLA NATHALIE', 'JULIO GUSTAVO', 'VIRGINIA BELEN', 'ERIKA FERNANDA', 'PAULA GABRIELA', 'MARIANA ELISA', 'MONICA CECILIA', 'GILDA MONICA']",Alianza Frente para la Victoria,Catamarca,4,12
Boyadjian    Miriam Ruth,Boyadjian    Miriam Ruth,"['ADRIAN ALFREDO', 'PABLO ANTONIO', 'ELVIRA ALEJANDRA', 'FLORENCIA GISELE', 'LUCIA DEBORA', 'FABRICIO EZEQUIEL', 'LEONARDO MARIANO', 'MARIA PIA', 'ANDRES JOSE', 'REINALDO GUILLERMO', 'VERONICA VANESA', 'JAVIER DARIO', 'FABIANA DEL CARMEN', 'ALEJANDRO MARTIN', 'MATIAS SEBASTIAN', 'GRISELDA ELISABETH', 'ARSENIO ARIEL', 'CLAUDIA ALEJANDRA', 'ANDRES ALBERTO', 'MARIELA CELESTE', 'DIEGO EZEQUIEL']",Movimiento Popular Fueguino,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",12,9
Braillard Poccard    Néstor Pedro,Braillard Poccard    Néstor Pedro,"['MARIA ELENA', 'MERCEDES ROXANA', 'DIANA BEATRIZ', 'ESTEBAN NICOLAS', 'MARIA CLARA', 'LUCIA SOLEDAD', 'MARIA LAURA', 'TERESA FABIANA', 'ENZO NOEL', 'SHIRLE SILVANA', 'MICAELA VANESA', 'NIOBE ADELA', 'SOFIA ISABEL', 'MARIA NERINA', 'DANILO ARTURO', 'ROLANDO JOSE', 'PAULA VANESA', 'MARIA FERNANDA', 'ANABELLA SOLANGE', 'HECTOR JOSE', 'HORACIO OMAR', 'CLAUDIA SUSANA', 'ALICIA RAMONA', 'LEANDRO', 'ALEJANDRO ERNESTO', 'MARIA CELESTE', 'CECILIA MARIA', 'JUAN PABLO', 'PATRICIA BELEN', 'MARCELO RICARDO', 'MARIO ENRIQUE']",Alianza Encuentro Corrientes,Corrientes,11,18
Brizuela y Doria de Cara    Olga Ines,Brizuela y Doria de Cara    Olga Ines,"['MARIA ANA', 'ALEJANDRA JUDITH', 'SILVIA BEATRIZ', 'ESTEFANIA', 'AUGUSTO', 'LUIS MIGUEL', 'HIPOLITO ARIEL', 'OLGA DEL VALLE', 'GIANNI', 'ALEJANDRINA NAHIR', 'VALERIA', 'YESSICA NATALIA', 'ENRIQUE NICOLAS', 'HUGO EMILIO', 'NILDA ELIZABETH', 'SILVIA KARIN', 'GUILLERMO', 'CECILIA INES', 'MARCOS LEANDRO']",Cambiemos Fuerza Civica Riojana,La Rioja,8,11
Bullrich    Esteban Jose,Bullrich    Esteban Jose,"['VIRGINIA', 'FELIPE JORGE', 'AZUL', 'JUAN PABLO', 'TATIANA', 'FRANCISCO JOSE', 'CAROLINA XIMENA', 'MARIA INES', 'ALEJANDRO HERNAN', 'MARIA VERONICA', 'HUGO', 'MATIAS SEBASTIÁN JESÚS', 'JOSEFINA', 'MARIA FLORENCIA']",Cambiemos Buenos Aires,Buenos Aires,6,8
Caserio    Carlos Alberto,Caserio    Carlos Alberto,"['JAVIER OCTAVIO', 'CARLOS MAXIMILIANO', 'JULIAN IGNACIO', 'EUGENIO CESAR', 'EDUARDO FRANCISCO', 'AXEL HERNAN', 'RICARDO ANTONIO', 'MARCELO MARTIN', 'VICTORIA DEL VALLE', 'LEONARDO ROBERTO', 'GUSTAVO HORACIO', 'GIMENA VICTORIA', 'SILVIA INES', 'MARIANO JESUS', 'GUSTAVO DEL VALLE', 'ELENA ARCELIA']",Alianza Unión por Córdoba,Córdoba,12,4
